,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
MTH/,,----,DAILY ---,,,PT,,-------,PRIOR  DAY,---,----
STRIKE,OPEN,HIGH,LOW,LAST,SETT,CHGE,EST.VOL,SETT,VOL,,INT
0MD TST,EMINI M,IDCAP 400,,,,,,,,,
16-Mar,----,----,----,----,1305.5,-1,,1306.5,,,
16-Jun,----,----,----,----,1300.7,-1,,1301.7,,,
16-Sep,----,----,----,----,1296.4,-1,,1297.4,,,
16-Dec,----,----,----,----,1297.8,-1,,1298.8,,,
17-Mar,----,----,----,----,1298.3,-1,,1299.3,,,
BIO CME,EMINI N,ASDAQ BIOTE,CH FUTURES,,,,,,,,
16-Mar,----,----,----,----,2712,-73.4,,2785.4,,,
16-Jun,----,----,----,----,2703.7,-73.4,,2777.1,,,
DVE E-M,ini FTSE,Developed,European In,dex Futur,es,,,,,,
16-Mar,----,214.25B,211.15A,212.20B,212.15,0.2,,211.95,,,
16-Jun,----,----,----,----,207.95,0.2,,207.75,,,
16-Sep,----,----,----,----,207.1,0.2,,206.9,,,
16-Dec,----,----,----,----,204.65,0.2,,204.45,,,
17-Mar,----,----,----,----,202.3,0.2,,202.1,,,
DVT BTI,C on E-M,ini FTSE De,veloped Eur,opean Ind,ex Futur,,,,,,
16-Mar,----,----,----,----,-1.26,UNCH,,-1.26,,,
16-Jun,----,----,----,----,-5.45,UNCH,,-5.45,,,
16-Sep,----,----,----,----,-6.32,UNCH,,-6.32,,,
16-Dec,----,----,----,----,-8.73,UNCH,,-8.73,,,
17-Mar,----,----,----,----,-11.12,UNCH,,-11.12,,,
EI FTSE,Emergin,g Index Fut,ures,,,,,,,,
16-Mar,375.8,376.40B,372.90A,374.10B,374,-0.9,15,374.9,10,,23
16-Jun,----,----,----,----,370.6,-0.9,,371.5,,,
16-Sep,----,----,----,----,366.1,-0.9,,367,,,
16-Dec,----,----,----,----,366.2,-0.9,,367.1,,,
17-Mar,----,----,----,----,366.2,-0.9,,367.1,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,15,,10,,23
EIT BTI,C FTSE E,merging Ind,ex Futures,,,,,,,,
16-Mar,----,----,----,----,-0.35,UNCH,,-0.35,,,
16-Jun,----,----,----,----,-3.7,UNCH,,-3.7,,,
16-Sep,----,----,----,----,-8.25,UNCH,,-8.25,,,
16-Dec,----,----,----,----,-8.1,UNCH,,-8.1,,,
17-Mar,----,----,----,----,-8.1,UNCH,,-8.1,,,
EMD CME,E-MINI,MIDCAP 400,FUTURES,,,,,,,,
16-Mar,1309,1314.9,1297.9,1306.40B,1305.5,-1,16009,1306.5,19685,9,9750
16-Jun,----,1305.30B,1300.20A,1300.20A,1300.7,-1,,1301.7,,,2
16-Sep,----,----,----,----,1296.4,-1,,1297.4,,,5
16-Dec,----,----,----,----,1297.8,-1,,1298.8,,,11
17-Mar,----,----,----,----,1298.3,-1,,1299.3,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,16009,,19685,9,9768
ENY E-M,ini Yen,Denominated,NIKKIE Sto,ck Averag,e Future,,,,,,
16-Mar,16200,16310.0B,15930.0A,15960.0B,15960,-90,1,16050,5,,31
16-Jun,----,----,----,----,15830,-90,,15920,,,
16-Sep,----,----,----,----,15800,-90,,15890,,,
16-Dec,----,----,----,----,15790,-90,,15880,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,1,,5,,31
ES CME,E-MINI S,&P 500 FUTU,RES,,,,,,,,
16-Mar,----,1933.5,1911.25,1918.25,1916.5,-6.25,1611837,1922.75,1854185,298,3644
16-Jun,1917.5,1924.5,1902.5,1909.25B,1907.75,-6,3594,1913.75,7454,9,2023
16-Sep,1911,1916.50B,1895.25A,1901.50B,1900,-6,455,1906,526,,7002
16-Dec,1897,1903.25B,1887.25,1892.00B,1892.75,-5.75,304,1898.5,517,,654
17-Mar,1900,1900,1895.00A,1895.00A,1888.5,-6,1,1894.5,1,,7
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,1616191,,1862683,308,3330
EST BTI,C on E-M,ini S&P 500,Futures,,,,,,,,
16-Mar,-3.4,-3.35,-3.55,-3.55,-3.55,-0.25,528,-3.3,,,
16-Jun,----,----,----,----,-19.5,UNCH,,-19.5,,,
16-Sep,----,----,----,----,-24.75,UNCH,,-24.75,,,
16-Dec,----,----,----,----,-30.25,UNCH,,-30.25,,,
17-Mar,----,----,----,----,-34.45,UNCH,,-34.45,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,528,,,,
FT1 E-M,ini FTSE,100 Index,Future,,,,,,,,
16-Mar,----,5960.00B,----,5935.00B,5813,-58.5,,5871.5,,,62
16-Jun,----,----,----,----,5776,-58.5,,5834.5,,,
16-Sep,----,----,----,----,5739,-58.5,,5797.5,,,
16-Dec,----,----,----,----,5702,-58.5,,5760.5,,,
17-Mar,----,----,----,----,5665,-58.5,,5723.5,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,,,,,62
FT5 E-m,ini FTSE,China 50 I,ndex Future,,,,,,,,
16-Mar,13725,13835.0B,13600.0A,13605.0B,13620,-105,102,13725,51,,168
16-Jun,----,----,----,----,13590,-105,,13695,,,
16-Sep,----,----,----,----,13560,-105,,13665,,,
16-Dec,----,----,----,----,13530,-105,,13635,,,
17-Mar,----,----,----,----,13500,-105,,13605,,,
TOTAL,,,,,,,EST.VOL,,VOLUME,OPEN,INT
TOTAL,,,,,,,102,,51,,168
FTB BTI,C E-mini,USD Denomi,nated FTSE,100 Index,Future,,,,,,
16-Mar,----,----,----,----,-17.8,UNCH,,-17.8,,,
16-Jun,----,----,----,----,-28.4,UNCH,,-28.4,,,
16-Sep,----,----,----,----,-39,UNCH,,-39,,,
16-Dec,----,----,----,----,-49.6,UNCH,,-49.6,,,
17-Mar,----,----,----,----,-60.2,UNCH,,-60.2,,,
FTC BTI,C E-mini,FTSE China,50 Index F,uture,,,,,,,
16-Mar,----,----,----,----,-41,UNCH,,-41,,,
16-Jun,----,----,----,----,-71,UNCH,,-71,,,
16-Sep,----,----,----,----,-101,UNCH,,-101,,,
16-Dec,----,----,----,----,-131,UNCH,,-131,,,
17-Mar,----,----,----,----,-161,UNCH,,-161,,,
FTT BTI,C E-Mini,FTSE 100 I,ndex Future,,,,,,,,
16-Mar,----,----,----,----,-63,UNCH,,-63,,,
16-Jun,----,----,----,----,-100,UNCH,,-100,,,
16-Sep,----,----,----,----,-137,UNCH,,-137,,,
16-Dec,----,----,----,----,-184,UNCH,,-184,,,
17-Mar,----,----,----,----,-221,UNCH,,-221,,,
